纬度,经度,店名,类型,其他1,其他2,其他3
30.5379266,114.3590489,梅园食堂,restaurant,,,
30.5438764,114.3646199,湖滨食堂,restaurant,,,
30.5437697,114.3643882,湖滨风味食堂,restaurant,,,
30.5461466,114.3604889,工学部三食堂,restaurant,,,
30.5391517,114.3662138,真茶屋,cafe,,,
30.5391692,114.3664455,达美乐比萨,fast_food,,,
30.5397,114.3666108,蜜雪冰城,cafe,,,
30.5391642,114.3663276,库迪咖啡,cafe,,,
30.5397223,114.3668239,自强超市,,supermarket,,
30.5393336,114.3662286,枫园食堂,restaurant,,,
30.539589,114.3665345,枫园风味食堂,restaurant,,,
30.5340364,114.3668964,煜玲双喜铁板烧,restaurant,,,
30.5320759,114.3627266,老丈母娘啫啫鸡煲,restaurant,,,
30.5332081,114.3584862,中百罗森,,convenience,,
30.5330903,114.3588544,广珞超市,,convenience,,
30.5330641,114.3589361,鱼籽村秘制拌饭,restaurant,,,
30.5333613,114.3580093,糯米包油条,fast_food,,,
30.5304792,114.3578515,附中食堂,restaurant,,,
30.5270774,114.3555519,楚文便利,,convenience,,
30.5286471,114.350973,瑞幸咖啡,cafe,,,
30.5289556,114.3509686,仙隐小鹿料理食堂,restaurant,,,
30.5289829,114.3508494,印度玛咖·鲜熬咖喱,restaurant,,,
30.5288025,114.3507777,1点点,cafe,,,
30.52893,114.3510806,来菜·湖北头牌藕汤,restaurant,,,
30.5286785,114.3508624,北疆饭店,restaurant,,,
30.5286203,114.3507053,蓝农·果木牛排西餐厅,restaurant,,,
30.5289182,114.3507047,橙小羊·冰煮羊火锅,restaurant,,,
30.5287629,114.3513744,遇见小面,restaurant,,,
30.5286985,114.3515241,Dairy Queen,fast_food,,,
30.5287232,114.3500217,茶百道,cafe,,,
30.5268144,114.3568059,郑恩强麻辣烫,restaurant,,,
30.5352091,114.3586842,古茗,cafe,,,
30.5294094,114.3483562,霸王茶姬,cafe,,,
30.5295271,114.3484002,赛百味,fast_food,,,
30.5296282,114.3484358,瑞幸咖啡,cafe,,,
30.5296863,114.3486063,季佳PAI,,mall,,
30.5389576,114.35055,东北菜饺子馆,restaurant,,,
30.5356182,114.3510212,星巴克,cafe,,,
30.5349044,114.3512015,Today今天便利店,,convenience,,
30.535376,114.3509816,新航道,prep_school,,,
30.5348057,114.3510241,马香纯兰州牛肉面,restaurant,,,
30.5343919,114.3510561,茶百道,cafe,,,
30.534643,114.351413,幸运咖,cafe,,,
30.5345937,114.351343,古茗,cafe,,,
30.5345429,114.3512708,杨国福麻辣烫,restaurant,,,
30.5346892,114.3514788,张亮麻辣烫,restaurant,,,
30.534795,114.3516291,瑞幸咖啡,cafe,,,
30.5348377,114.3516898,爷爷不泡茶,cafe,,,
30.5343326,114.3509717,蜜雪冰城,cafe,,,
30.5344422,114.3511275,真茶屋,cafe,,,
30.5270048,114.3572867,老街烧烤,restaurant,,,
30.5277272,114.3577589,欣欣餐厅,restaurant,,,
30.5281095,114.3579936,蜜雪冰城,cafe,,,
30.5280689,114.3579677,吾饮良品,cafe,,,
30.5277489,114.3577054,沙县小吃,restaurant,,,
30.5597724,114.3554984,易捷,,convenience,,
30.544355,114.3680248,湖山,cafe,,,
30.5286059,114.351524,寿司郎,restaurant,,,
30.5244035,114.3468091,库迪咖啡,cafe,,,
30.5214355,114.3748642,奥林餐厅,restaurant,,,
30.5212391,114.3748052,教工食堂w,restaurant,,,
30.5204646,114.3746951,麦当劳,fast_food,,,
30.5203474,114.3746581,中百超市,,supermarket,,
30.5226863,114.3694537,奥林学生超市,,supermarket,,
30.5224943,114.3693985,库迪咖啡,cafe,,,
30.522594,114.3694271,蜜雪冰城,cafe,,,
30.5224003,114.3693714,爷爷不泡茶,cafe,,,
30.5209233,114.368453,瑞幸咖啡,cafe,,,
30.5209027,114.3685592,今天便利店,,convenience,,
30.5208824,114.3686678,肯德基,fast_food,,,
30.5202565,114.3716041,中国兰州牛肉拉面,restaurant,,,
30.5202306,114.3717226,中百罗森,,convenience,,
30.5193233,114.3636464,醉江澜融味餐厅,restaurant,,,
30.5194325,114.3633156,陋室茶舍,cafe,,,
30.51938,114.363293,亚茶记禅,cafe,,,
30.5191679,114.363353,云义堂,restaurant,,,
30.5191626,114.3631671,名香园茶庄,cafe,,,
30.5176072,114.3627952,美宜佳,,convenience,,
30.5172896,114.3628739,好①家超市,,supermarket,,
30.522032,114.3637578,颂心便利店,,convenience,,
30.5221314,114.3635211,安庆馄饨,fast_food,,,
30.5220846,114.3636326,笼上蒸品,fast_food,,,
30.5228778,114.3627498,库迪咖啡,cafe,,,
30.5334153,114.3499189,和善园,fast_food,,,
30.5274646,114.3611755,学生食堂,restaurant,,,
30.5282852,114.3621305,佰尚生活超市,,supermarket,,
30.5273603,114.3610715,中百罗森,,convenience,,
30.5305396,114.3590754,大泽屋咖喱,restaurant,,,
30.5311276,114.3593038,益禾堂,cafe,,,
30.5283949,114.3614621,天天超市,,supermarket,,
30.5286981,114.3584763,雷克斯意式披萨餐厅,restaurant,,,
30.5287076,114.359114,天一朴素,restaurant,,,
30.5250389,114.359424,武大口院食堂,restaurant,,,
30.5259339,114.3578853,新力有家,,convenience,,
30.5256848,114.3582487,座外·天台烧烤·咖啡酒场,restaurant,,,
30.5255657,114.3584185,香酥芝麻饼,fast_food,,,
30.5253161,114.3588655,洪湖小碗菜,restaurant,,,
30.5252689,114.3589486,辛香盖码饭,restaurant,,,
30.5253313,114.3590055,楚牛香,restaurant,,,
30.5255085,114.3585,老汉口汽水包,fast_food,,,
30.5250101,114.3591768,江镇蒸功夫包子专卖,fast_food,,,
30.5269217,114.3568768,广东肠粉,fast_food,,,
30.5272883,114.3571481,女人街串串,restaurant,,,
30.5270765,114.3573161,库迪咖啡,cafe,,,
30.5273955,114.357212,黄蜀郎鸡公煲,restaurant,,,
30.5274844,114.357265,兰州拉面,restaurant,,,
30.5276624,114.357652,淮南牛肉汤,restaurant,,,
30.5262127,114.357317,蔡林记,fast_food,,,
30.5262484,114.3572456,袁记云饺,restaurant,,,
30.5261787,114.3573849,鸭得煲,fast_food,,,
30.5270324,114.3569528,沪上阿姨,cafe,,,
30.5271741,114.35708,东北饺子馆,restaurant,,,
30.5271286,114.3570529,柠季,cafe,,,
30.5270808,114.3570244,巴尔郎鸡公煲,restaurant,,,
